frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
135,6.0,[408.5623000478943 822.3891084179535 809.888249521259 1081.5428802389256],[541.2376708984375 1028.3876953125 666.8175659179688 1078.640625],0.6709486246109009,CX15OGJ,0.6784362382913665,2024-05-01 13:34:45,
135,34.0,[1121.5651735294541 829.6678318905186 1493.8430314910538 1079.4088881869334],[1257.8582763671875 1017.1593017578125 1372.7745361328125 1067.9832763671875],0.6473580598831177,LM13VCV,0.2579092977811231,2024-05-01 13:34:58,
135,1.0,[1021.016004903382 607.7821405821355 1302.821450938627 845.3976520133897],[1133.4609375 755.2512817382812 1232.0218505859375 798.5996704101562],0.39292001724243164,AP05JED,0.15572768156403594,2024-05-01 13:34:53,
136,34.0,[1123.221430124133 833.7228522464949 1495.2404909671764 1080.9629825150391],[1255.5977783203125 1016.7927856445312 1377.3402099609375 1072.516357421875],0.6889393329620361,LN13VCV,0.46582477025488983,2024-05-01 13:34:58,
136,1.0,[1021.1160724185542 609.193601485828 1304.6870462328666 847.2425660653513],[1117.89453125 753.2986450195312 1222.8282470703125 799.5532836914062],0.48250654339790344,AP05JEO,0.9021691296789542,2024-05-01 13:34:53,
136,8.0,[551.0144657736404 562.6527409515459 804.5706108248604 779.4392191573986],[636.6268920898438 685.1568603515625 713.196533203125 728.8392333984375],0.29466456174850464,KK05ZIK,0.3512414196764514,2024-05-01 13:34:56,
137,1.0,[1021.3425941236634 610.676778359422 1306.048937523187 849.6882981777825],[1125.5064697265625 758.0565185546875 1230.5067138671875 804.8958129882812],0.5530622601509094,AP05JEO,0.5642082708586592,2024-05-01 13:34:53,
138,34.0,[1125.3335374237938 840.8303468840054 1497.8765202587172 1081.562461431711],[1262.0758056640625 1029.27294921875 1376.81591796875 1080.0],0.6498001217842102,LN13VCV,0.26671176199610896,2024-05-01 13:34:58,
138,1.0,[1024.2194810301755 614.1122886044993 1308.6911470867701 853.4062999651462],[1120.036376953125 763.9412841796875 1230.93017578125 803.25146484375],0.5682693719863892,AP05JEQ,0.4405539591524299,2024-05-01 13:34:53,
139,1.0,[1025.3387575090514 615.7275273739431 1310.1581767386542 855.4067668902117],[1119.74267578125 763.2603149414062 1223.0164794921875 802.5302124023438],0.5463253259658813,AP05JEO,0.2173349030510798,2024-05-01 13:34:53,
139,34.0,[1126.551533468161 844.3936046671776 1499.299159225771 1081.1826889603121],[1257.8541259765625 1030.187255859375 1375.7589111328125 1080.0],0.4886113107204437,LM13VCV,0.11062238946603238,2024-05-01 13:34:58,
140,1.0,[1027.115535580827 617.3005586346534 1311.1212176739552 857.3033401154208],[1124.9256591796875 767.1932983398438 1227.1094970703125 804.9584350585938],0.44985267519950867,AP05JED,0.31294755942818975,2024-05-01 13:34:53,
140,34.0,[1129.162664330121 848.2685448054553 1501.42715711322 1081.6753231080866],[1257.2073974609375 1034.009765625 1380.1715087890625 1080.0],0.3293404281139374,LM13VCV,0.17673143880238523,2024-05-01 13:34:58,
141,1.0,[1026.2053403317466 619.4511819770406 1311.9844041350214 861.6940947079992],[1120.0948486328125 768.604248046875 1223.8870849609375 810.58740234375],0.43594595789909363,AP05JEO,0.33812513153460216,2024-05-01 13:34:53,
141,8.0,[542.1285616909461 566.8087441565001 798.2997860344556 788.4022979848435],[628.6041870117188 698.1256713867188 708.1256103515625 737.3388671875],0.2865113317966461,KH05ZZK,0.47736138058928324,2024-05-01 13:34:56,
142,1.0,[1025.6530218336584 620.2273052150533 1313.1414752133064 864.1698661297348],[1137.825927734375 771.368408203125 1234.2379150390625 813.8463134765625],0.3914282023906708,AP05JEO,0.4470822443053911,2024-05-01 13:34:53,
143,1.0,[1025.0831801521354 621.0295512208318 1314.109341441335 866.6418134515595],[1123.4993896484375 770.9638061523438 1229.5797119140625 811.7915649414062],0.4932813346385956,AP05JEO,0.6332609809201183,2024-05-01 13:34:53,
143,8.0,[539.2995206906223 571.2293893950346 795.4959770600544 792.6862103726805],[618.8838500976562 698.4727172851562 708.2964477539062 739.9559936523438],0.41024574637413025,KH15ZIK,0.10896498717722207,2024-05-01 13:34:56,
144,1.0,[1024.7954494933326 623.7853932008521 1316.0534765609702 871.5744827466712],[1124.45068359375 774.5927124023438 1224.22607421875 818.4710083007812],0.5036190152168274,AP05JED,0.208208531656846,2024-05-01 13:34:53,
144,8.0,[537.6459362091587 573.3666317912136 794.6600104701467 795.24609406632],[622.1497802734375 703.0582275390625 703.8754272460938 743.9577026367188],0.4375652074813843,KK05ZTK,0.2388297066144929,2024-05-01 13:34:56,
145,1.0,[1024.530130005822 626.058786260431 1317.4694568092393 874.8113944305002],[1134.7177734375 778.0770263671875 1234.8714599609375 822.3535766601562],0.43216001987457275,AP05JEO,0.7603386394258504,2024-05-01 13:34:53,
146,1.0,[1024.705908151134 628.1380736197509 1319.030225880522 877.5972417619191],[1126.9061279296875 776.3660888671875 1235.83984375 824.78173828125],0.4778435230255127,AP05JEO,0.3886828740285473,2024-05-01 13:34:53,
147,8.0,[534.496321143384 579.1747711191698 791.9802817525162 803.5561254715254],[616.3539428710938 707.4931640625 702.3838500976562 755.8093872070312],0.5003201961517334,KH35ZZK,0.09352861720373963,2024-05-01 13:34:56,
148,1.0,[1023.222852683573 632.5806043605405 1319.996116918642 884.8315072509292],[1123.498779296875 786.9625854492188 1232.568115234375 826.8275756835938],0.5072047710418701,KP05JEO,0.2950334761961329,2024-05-01 13:34:53,
149,8.0,[531.4565889915726 580.9139144411145 791.5925210422209 807.5858477309018],[611.937744140625 709.4130859375 698.5118408203125 754.6275024414062],0.3766172230243683,KH05ZIK,0.3288484455557569,2024-05-01 13:34:56,
149,1.0,[1024.5442511448184 633.7962688371167 1322.6578290543978 886.9757238315783],[1123.976806640625 788.66015625 1211.8619384765625 827.52685546875],0.3260546326637268,AP05JEL,0.8536011956717676,2024-05-01 13:34:53,
